Bank	Address	Name	CallingConvention	RegisterInputs	RegisterOutputs	DirectMemoryWrites	Calls
17	A05E	MapSystem_Entry_A05E	Direct ROM analysis: Verified fallthrough map UI service sequence		P		$9242
17	A064	MapSystem_Entry_A064	Direct ROM analysis: Resume after two-byte inline BRK service at $A061	A,X	A,P,X,Y	$03,$2C,$2D,$2E,$2F+X,$35,$37	$A0F3,$A1B9,$A1FF,$A206,$A226,$A261,$C8EC,$FF74
17	A099	MapSystem_Entry_A099	Direct ROM analysis: Verified fallthrough path when fixed status byte is zero	A,X	A,P,X,Y	$03,$2C,$2D,$2E,$2F+X,$35,$37	$A0F3,$A1B9,$A1FF,$A206,$A261,$C8EC,$FF74
17	A0B9	MapSystem_Entry_A0B9	Direct ROM analysis: Resume after two-byte inline BRK service at $A0B6	A,X	A,P,X,Y	$03,$2C,$2D,$2E,$2F+X,$35,$37	$A0F3,$A1B9,$A1FF,$A206,$A261,$C8EC,$FF74
17	A0F3	MapSystem_Entry_A0F3	Direct call from $17:$A091	A,X,Y	A,P,X,Y	$00,$0D+X,$2C+X,$2F+X,$32+X	$A15B,$A34F
17	A143	MapSystem_Entry_A143	Direct ROM analysis: Resume after two-byte inline BRK service at $A140	A,X,Y	A,P,X,Y	$00,$0D+X,$2C+X,$2F+X,$32+X	$A15B,$A34F
17	A15B	MapSystem_Entry_A15B	Direct call from $17:$A11F	A,X,Y	A,P,Y	$2F+X,$5D+X	$C891
17	A160	MapSystem_Entry_A160	Direct ROM analysis: Verified fallthrough path from $A15B	A,X,Y	A,P,Y	$2F+X,$5D+X	$C891
17	A1B9	MapSystem_Entry_A1B9	Direct call from $17:$A0AE; Direct call from $17:$A214	A,X,Y	A,P,Y	$32+X	$C891
17	A1BE	MapSystem_Entry_A1BE	Direct ROM analysis: Verified fallthrough path from $A1B9	A,X,Y	A,P,Y	$32+X	$C891
17	A1FF	MapSystem_Entry_A1FF	Direct call from $17:$A081		P	$5B,$5C	
17	A206	MapSystem_Entry_A206	Direct call from $17:$A084	A,X	A,P,X	$2F+X,$35,$5B,$5C	$A1B9
17	A226	MapSystem_Entry_A226	Direct call from $17:$A064	A,Y	A,P,Y	$000A+Y,$002F+Y,$03,$04FA+Y,$04FF,$2C,$2D,$2E,$35,$37,$38,$5B,$5C	
17	A254	MapSystem_Entry_A254	Direct ROM analysis: Verified branch path in map UI initialization	A	A,P	$5B,$5C	
17	A261	MapSystem_Entry_A261	Direct call from $17:$A071; Direct call from $17:$A076; Direct call from $17:$A07B	A,X,Y	A,P,X,Y	$00,$01,$02,$0200+X,$0201+X,$0202+X,$0203+X,$0204+X,$0205+X,$0206+X,$0207+X,$0A+X,$0D+X,$29+X,$2F+X	$A315,$A34F,$A38D
17	A2B4	MapSystem_Entry_A2B4	Direct ROM analysis: Resume after two-byte inline BRK service at $A2B1		P		
17	A315	MapSystem_Entry_A315	Direct call from $17:$A271	A,X	A,P,X	$00,$0200+X	
17	A33C	MapSystem_Entry_A33C	Direct call from $17:$9C3E; Direct call from $17:$9C44	A,X,Y	A,P,X,Y	$00,$01,$0200+Y,$0201+Y,$0202+Y,$0203+Y,$0204+Y,$0205+Y,$0206+Y,$0207+Y,$0208+Y,$0209+Y,$020A+Y,$020B+Y,$020C+Y,$020D+Y,$020E+Y,$020F+Y	$A34F,$A38D,$A516
17	A34F	MapSystem_Entry_A34F	Direct call from $17:$A13D; Direct call from $17:$A2AE; Direct call from $17:$A343; Direct call from $17:$A34A	A,X,Y	A,P,X,Y	$01,$0200+Y,$0201+Y,$0202+Y,$0203+Y,$0204+Y,$0205+Y,$0206+Y,$0207+Y,$0208+Y,$0209+Y,$020A+Y,$020B+Y,$020C+Y,$020D+Y,$020E+Y,$020F+Y	$A516
17	A38D	MapSystem_Entry_A38D	Direct call from $17:$9E76; Direct call from $17:$A2E6; Direct call from $17:$A33C	A,X,Y	A,P,X,Y	$51,$52,$53+X	
17	A516	MapSystem_Entry_A516	Direct call from $17:$A35F; Direct call from $17:$A374	A,X,Y	A,P,X	$0200+Y,$0201+Y,$0202+Y,$0203+Y,$0204+Y,$0205+Y,$0206+Y,$0207+Y,$0208+Y,$0209+Y,$020A+Y,$020B+Y,$020C+Y,$020D+Y,$020E+Y,$020F+Y	
17	A57A	MapSystem_Entry_A57A	Direct call from $17:$9C19	A,Y	A,P,Y	$0200+Y	$A58F
17	A58F	MapSystem_Entry_A58F	Direct call from $17:$A588	A,Y	P,Y	$0200+Y	
17	A599	MapSystem_Entry_A599	Direct call from $17:$9C16	A,X,Y	A,P,X,Y	$03,$04,$05,$2006,$2007	$A62E
17	A62E	MapSystem_Entry_A62E	Direct call from $17:$A5A9; Direct call from $17:$A5D2; Direct call from $17:$A5D6; Direct call from $17:$A5DA	A,Y	A,P,Y	$00,$01,$02,$2007	
17	A7FE	MapSystem_Entry_A7FE	Direct call from $17:$9C13	A,X,Y	A,P,X,Y	$00,$01,$2006,$2007	
17	A875	MapSystem_Entry_A875	Direct call from $17:$9C0D	A,X	A,P,X	$05FC+X	
18	995A	MonsterBattleFont_Entry_995A	Pointer $18:$8004 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$6D8C+X,$7B	$9997
18	9982	MonsterBattleFont_Entry_9982	Pointer $18:$8006 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$00,$02,$6D8C+X,$6DC2+X,$7B	$99BD,$99DE,$99F9
18	9991	MonsterBattleFont_Entry_9991	Pointer $18:$8008 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$00,$02,$6D8C+X,$6DC2+X,$7B	$99BD,$99F9
18	9997	MonsterBattleFont_Entry_9997	Direct call from $18:$997A	A,X,Y	A,P,X,Y	$00,$02,$6D8C+X,$6DC2+X	$99BD,$99F9
18	99BD	MonsterBattleFont_Entry_99BD	Direct call from $18:$9997	A,X,Y	A,P,Y		
18	99DE	MonsterBattleFont_Entry_99DE	Direct call from $18:$998E		P		
18	99F9	MonsterBattleFont_Entry_99F9	Direct call from $18:$999C; Pointer $18:$8022 (35-entry mixed bank directory; known data targets are excluded)	A	A,P	$756B,$86,$87,$8A,$8B,$8C	$9A21
18	9A21	MonsterBattleFont_Entry_9A21	Direct call from $18:$9A0E	A,X,Y	A,P,X,Y	$756B+X,$7571+X,$8A,$8B	$9A72,$9B94
18	9A72	MonsterBattleFont_Entry_9A72	Direct call from $18:$9A55	A,X,Y	A,P,X,Y	$756B+X,$7571+X,$8C	
18	9AC1	MonsterBattleFont_Entry_9AC1	Pointer $18:$8020 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,Y	$0C,$0D	$9B94
18	9AD6	MonsterBattleFont_Entry_9AD6	Pointer $18:$801E (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$02,$03	$9B94,$9BCC
18	9AF7	MonsterBattleFont_Entry_9AF7	Pointer $18:$8024 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$754B+X,$81	$9B3F,$9BCC
18	9B3F	MonsterBattleFont_Entry_9B3F	Direct call from $18:$9B37	A,X,Y	A,P,X,Y	$754B+X,$754C+X,$754D+X,$754E+X	$9B94
18	9B94	MonsterBattleFont_Entry_9B94	Direct call from $18:$9A32; Direct call from $18:$9AC4; Direct call from $18:$9AE5; Direct call from $18:$9B3F	A,X	A,P,X	$00+X,$01+X	$C827
18	9B96	MonsterBattleFont_Entry_9B96	Direct call from $18:$9BBB	A,X	A,P	$00+X,$01+X	$C827
18	9BB3	MonsterBattleFont_Entry_9BB3	Pointer $18:$8026 (35-entry mixed bank directory; known data targets are excluded)	A,X,Y	A,P,X,Y	$7364,$79	$9B96
18	9BCC	MonsterBattleFont_Entry_9BCC	Direct call from $18:$9AD8; Direct call from $18:$9B07	A,X	A,P	$86,$87	
18	9BE6	MonsterBattleFont_Entry_9BE6	Pointer $18:$8000 (35-entry mixed bank directory; known data targets are excluded)	A,X	A,P,X	$7396	$9C19,$9C88,$9CB2,$9CCC,$9CE8,$9CF6,$9D45,$9D58,$9D6B,$9D9C,$9DBB,$9DDE,$9E0D,$9FB8,$A069,$A0BA,$A0F9,$A20E,$C891
18	9C19	MonsterBattleFont_Entry_9C19	Direct call from $18:$9C04	A,X,Y	A,P,X,Y	$00,$01,$06,$07,$0B,$0E	$C81D,$C827
18	9C88	MonsterBattleFont_Entry_9C88	Direct call from $18:$9F95	A,X,Y	A,P,X,Y	$00,$01,$07,$0B,$0E	$C81D,$C827
18	9CB2	MonsterBattleFont_Entry_9CB2	Direct call from $18:$9C0A	A,X	A,P,X	$0E,$0F	$A231,$C827
18	9CCC	MonsterBattleFont_Entry_9CCC	Direct call from $18:$9C07; Direct call from $18:$9F98	A,X	A,P,X	$0F,$6E42	
18	9CE8	MonsterBattleFont_Entry_9CE8	Direct call from $18:$9F9D	A	A,P,X	$0E,$0F	$C827
18	9CF6	MonsterBattleFont_Entry_9CF6	Direct call from $18:$9C10; Direct call from $18:$9FAF	A	A,P	$0E,$6BEB	$C891
18	9D45	MonsterBattleFont_Entry_9D45	Direct call from $18:$9D2D	A	A,P,X	$0E,$0F	
18	9D58	MonsterBattleFont_Entry_9D58	Direct call from $18:$9D30	A,Y	A,P,Y	$00,$01,$6E01	
18	9D6B	MonsterBattleFont_Entry_9D6B	Direct call from $18:$9D33	A	A,P	$82,$83,$D2,$D3	$A231
18	9D9C	MonsterBattleFont_Entry_9D9C	Direct call from $18:$9D36; Direct call from $18:$9F51	A,X,Y	A,P,X,Y	$82+X,$D2+X	$A257
18	9DBB	MonsterBattleFont_Entry_9DBB	Direct call from $18:$9D39; Direct call from $18:$9F54	A,X,Y	A,P,X,Y	$04,$05,$82+X	
18	9DDE	MonsterBattleFont_Entry_9DDE	Direct call from $18:$9D3C; Direct call from $18:$9F57	A,X,Y	A,P,X,Y	$D2,$D3,$D4	$C891
18	9E0D	MonsterBattleFont_Entry_9E0D	Direct call from $18:$9D3F	A,X,Y	A,P,X,Y	$08,$0A,$0D,$0E,$6E00,$6E45,$6E46,$6E47+Y,$6E49,$6E49+X,$6E4A,$6E4B+Y,$CD,$CE	$9F34,$A262,$C81D,$C827,$C891
18	9F34	MonsterBattleFont_Entry_9F34	Direct call from $18:$9EBE; Direct call from $18:$9EE4; Direct call from $18:$9F67	A,Y	A,P	$D2,$D3	$9D9C,$9DBB,$9DDE,$A231
18	9FB8	MonsterBattleFont_Entry_9FB8	Direct call from $18:$9F8F	A,X,Y	A,P,X,Y	$6E05	
18	A069	MonsterBattleFont_Entry_A069	Direct call from $18:$9F92	A,X,Y	A,P,X,Y	$0E,$0F,$6E06,$6E07,$6E08	
18	A0BA	MonsterBattleFont_Entry_A0BA	Direct call from $18:$9C0D	A,X,Y	A,P,X,Y	$0E,$0F,$6E41	$C827
18	A0F9	MonsterBattleFont_Entry_A0F9	Direct call from $18:$9BF3	A	A,P	$0E,$0F,$6E45,$6E46,$6E47,$6E48,$6E49,$6E4A,$6E4B,$6E4C	
18	A123	MonsterBattleFont_Entry_A123	Direct call from $18:$A207	A,X	A,P,X		
18	A1AD	MonsterBattleFont_Entry_A1AD	Pointer $18:$8002 (35-entry mixed bank directory; known data targets are excluded)	A,Y	A,P,X,Y	$04,$05,$6E44,$6E45+Y	$A123,$C827
18	A20E	MonsterBattleFont_Entry_A20E	Direct call from $18:$A120	A,X	A,P,X,Y	$04	
18	A231	MonsterBattleFont_Entry_A231	Direct call from $18:$9CBC; Direct call from $18:$9D70; Direct call from $18:$9F42	A	A,P		
18	A257	MonsterBattleFont_Entry_A257	Direct call from $18:$9DA5	A,X	A,P,X		
18	A262	MonsterBattleFont_Entry_A262	Direct call from $18:$9F08; Direct call from $18:$9F16	A,Y	A,P,Y		
18	A813	MonsterBattleFont_Entry_A813	Pointer $18:$8028 (35-entry mixed bank directory; known data targets are excluded)	A	A,P	$6E82	
18	A840	MonsterBattleFont_Entry_A840	Direct call from $18:$A821	A,X,Y	A,P,X,Y	$0F,$2E,$6E35+Y,$6E45+Y	$A8B6,$A8C8,$ABB8
